Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (mnd);Minimumstemperatur (mnd)
Kise På Hedmark;SN12550;03.2015;12.7;-7.7
Kise På Hedmark;SN12550;04.2015;22.6;-5.4
Kise På Hedmark;SN12550;05.2015;17.1;-1.9
Kise På Hedmark;SN12550;06.2015;22.5;1.6
Kise På Hedmark;SN12550;07.2015;27.8;4.4
Kise På Hedmark;SN12550;08.2015;25.5;4.8
Kise På Hedmark;SN12550;09.2015;21;1.6
Kise På Hedmark;SN12550;10.2015;18.3;-2
Kise På Hedmark;SN12550;11.2015;16.6;-8.3
Kise På Hedmark;SN12550;12.2015;10.5;-11.1
Kise På Hedmark;SN12550;01.2016;6.7;-21.9
Kise På Hedmark;SN12550;02.2016;8.4;-11.8
Kise På Hedmark;SN12550;03.2016;11.9;-8.6
Kise På Hedmark;SN12550;04.2016;13.3;-4.6
Kise På Hedmark;SN12550;05.2016;26.2;0.7
Kise På Hedmark;SN12550;06.2016;28.1;2.4
Kise På Hedmark;SN12550;07.2016;26.6;6.9
Kise På Hedmark;SN12550;08.2016;24.6;3.4
Kise På Hedmark;SN12550;09.2016;24;4.4
Kise På Hedmark;SN12550;10.2016;15.3;-2.3
Kise På Hedmark;SN12550;11.2016;9.1;-13.8
Kise På Hedmark;SN12550;12.2016;9.4;-13.1
Kise På Hedmark;SN12550;01.2017;8.4;-14.8
Kise På Hedmark;SN12550;02.2017;6.3;-16.9
Kise På Hedmark;SN12550;03.2017;17.7;-12.4
Kise På Hedmark;SN12550;04.2017;15.7;-3.2
Kise På Hedmark;SN12550;05.2017;30.7;-1.9
Kise På Hedmark;SN12550;06.2017;24.5;1.9
Kise På Hedmark;SN12550;07.2017;25;4.4
Kise På Hedmark;SN12550;08.2017;23.6;4.3
Kise På Hedmark;SN12550;09.2017;18.6;4.6
Kise På Hedmark;SN12550;10.2017;15.9;-2.5
Kise På Hedmark;SN12550;11.2017;9.4;-9.4
Kise På Hedmark;SN12550;12.2017;7.7;-14.3
Kise På Hedmark;SN12550;01.2018;6.4;-19.8
Kise På Hedmark;SN12550;02.2018;3.2;-20.2
Kise På Hedmark;SN12550;03.2018;8.9;-25.2
Kise På Hedmark;SN12550;04.2018;14.2;-13.6
Kise På Hedmark;SN12550;05.2018;28.9;0
Kise På Hedmark;SN12550;06.2018;31;2.9
Kise På Hedmark;SN12550;07.2018;32.5;5.4
Kise På Hedmark;SN12550;08.2018;27.9;5.2
Kise På Hedmark;SN12550;09.2018;21.4;-1.3
Kise På Hedmark;SN12550;10.2018;18.1;-4.8
Kise På Hedmark;SN12550;11.2018;11.1;-10.7
Kise På Hedmark;SN12550;12.2018;6.6;-16.2
Kise På Hedmark;SN12550;01.2019;5.9;-21.6
Kise På Hedmark;SN12550;02.2019;9.3;-20.8
Kise På Hedmark;SN12550;03.2019;14.6;-17.5
Kise På Hedmark;SN12550;04.2019;24.4;-7.6
Kise På Hedmark;SN12550;05.2019;24.9;-2.4
Kise På Hedmark;SN12550;06.2019;24.4;5.5
Kise På Hedmark;SN12550;07.2019;31.5;4.5
Kise På Hedmark;SN12550;08.2019;26.4;6.8
Kise På Hedmark;SN12550;09.2019;20.8;1.5
Kise På Hedmark;SN12550;10.2019;13.4;-3.9
Kise På Hedmark;SN12550;11.2019;4.1;-10.5
Kise På Hedmark;SN12550;12.2019;7.8;-14
Kise På Hedmark;SN12550;01.2020;11.2;-8.8
Kise På Hedmark;SN12550;02.2020;8.8;-11.4
Kise På Hedmark;SN12550;03.2020;12.3;-14.5
Kise På Hedmark;SN12550;04.2020;18.7;-4.1
Kise På Hedmark;SN12550;05.2020;26.4;-3.1
Kise På Hedmark;SN12550;06.2020;30.8;6.4
Kise På Hedmark;SN12550;07.2020;24.5;5.1
Kise På Hedmark;SN12550;08.2020;27.8;3.4
Kise På Hedmark;SN12550;09.2020;21.9;1.3
Kise På Hedmark;SN12550;10.2020;16.4;-1.7
Kise På Hedmark;SN12550;11.2020;14.9;-9
Kise På Hedmark;SN12550;12.2020;7.3;-8
Kise På Hedmark;SN12550;01.2021;5.3;-19.3
